# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.72            	((-2.140998772e+01 3.207801118e+00 2.723528009e-16) (4.009616261e+00 -2.461456290e-01 -1.095296939e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-8.019502795e-01 -5.352496931e+00 1.443538454e+01) (6.153640726e-02 1.002404065e+00 2.028303640e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.76            	((-1.722284659e+01 2.810937886e+00 2.714624535e-16) (3.710078451e+00 -3.181424231e-01 -1.004075940e-16) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-7.027344714e-01 -4.305711648e+00 1.455306426e+01) (7.953560578e-02 9.275196126e-01 2.156992053e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.8             	((-1.324123781e+01 2.581129428e+00 2.598354392e-16) (3.397159926e+00 -4.563695908e-01 -8.553400043e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.452823570e-01 -3.310309452e+00 1.470922556e+01) (1.140923977e-01 8.492899814e-01 2.298059344e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.84            	((-1.000697779e+01 2.523455723e+00 2.415565126e-16) (3.144506214e+00 -6.365812660e-01 -6.864585170e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.308639307e-01 -2.501744447e+00 1.494782105e+01) (1.591453165e-01 7.861265534e-01 2.437530948e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.88            	((-7.771533576e+00 2.552647567e+00 2.211684631e-16) (2.980591809e+00 -8.181144129e-01 -5.285025868e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.381618917e-01 -1.942883394e+00 1.522131814e+01) (2.045286032e-01 7.451479522e-01 2.564181362e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.92            	((-6.536436045e+00 2.631818426e+00 2.023421243e-16) (2.905903165e+00 -9.578228630e-01 -3.984714429e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.579546066e-01 -1.634109011e+00 1.546718403e+01) (2.394557157e-01 7.264757912e-01 2.673412710e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.96            	((-6.081518923e+00 2.550474981e+00 1.871939809e-16) (2.894427472e+00 -1.021375665e+00 -2.994118413e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.376187453e-01 -1.520379731e+00 1.569573999e+01) (2.553439163e-01 7.236068680e-01 2.767646529e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1               	((-5.911828277e+00 2.112585189e+00 1.760369573e-16) (2.921782080e+00 -1.001419179e+00 -2.297308998e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.281462971e-01 -1.477957069e+00 1.583356642e+01) (2.503547948e-01 7.304455201e-01 2.844189645e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.04            	((-6.155317870e+00 1.457033760e+00 1.675952704e-16) (2.964722223e+00 -9.169917056e-01 -1.773454506e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.642584401e-01 -1.538829467e+00 1.580409618e+01) (2.292479264e-01 7.411805558e-01 2.896354298e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
1.08            	((-6.577291510e+00 6.246076321e-01 1.603342129e-16) (2.999371947e+00 -8.058116514e-01 -1.363901260e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.561519080e-01 -1.644322878e+00 1.552023156e+01) (2.014529129e-01 7.498429868e-01 2.918482289e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
