# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.04            	((1.600053920e+00 -5.208288208e-04 2.771539036e-19) (1.581295074e+00 4.744011045e-05 -2.169521634e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.302072052e-04 4.000134799e-01 7.347577408e-13) (-1.186002761e-05 3.953237686e-01 4.796350178e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.08            	((1.042444344e+00 -7.942201365e-04 1.911175606e-19) (1.037660876e+00 -4.846208624e-05 -1.691257389e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.985550341e-04 2.606110860e-01 5.815270140e-14) (1.211552156e-05 2.594152189e-01 -7.581415985e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.12            	((8.488190604e-01 -3.187718068e-04 1.599292530e-19) (8.447343250e-01 -5.150390267e-05 -1.507700898e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((7.969295170e-05 2.122047651e-01 -1.917363837e-13) (1.287597567e-05 2.111835813e-01 1.903894821e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.16            	((7.482129890e-01 -5.826408775e-05 1.432865734e-19) (7.367594333e-01 -3.707428897e-05 -1.403043399e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.456602194e-05 1.870532473e-01 -2.745749862e-13) (9.268572242e-06 1.841898583e-01 6.917531136e-07) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.2             	((6.858143954e-01 -4.959730927e-05 1.328451938e-19) (6.655778155e-01 -3.304524768e-05 -1.331742050e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.239932732e-05 1.714535988e-01 -3.209729574e-13) (8.261311920e-06 1.663944539e-01 -1.270204429e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.24            	((6.431697120e-01 -5.990544407e-05 1.256884437e-19) (6.142718732e-01 -3.063159610e-05 -1.278935796e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.497636102e-05 1.607924280e-01 -3.619417049e-13) (7.657899024e-06 1.535679683e-01 -1.390051931e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.28            	((6.122835847e-01 -9.570206816e-05 1.204921822e-19) (5.751781261e-01 -3.102319353e-05 -1.237953176e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.392551704e-05 1.530708962e-01 -4.037651290e-13) (7.755798382e-06 1.437945315e-01 -1.320028477e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.32            	((5.888738534e-01 -1.763567142e-04 1.165230507e-19) (5.442175826e-01 -3.349480830e-05 -1.205130225e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((4.408917856e-05 1.472184633e-01 -4.355738860e-13) (8.373702074e-06 1.360543957e-01 -1.266809805e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.36            	((5.709681368e-01 3.116625202e-05 1.135051863e-19) (5.190103923e-01 -2.746279784e-05 -1.177636200e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-7.791563006e-06 1.427420342e-01 -5.230791928e-13) (6.865699460e-06 1.297525981e-01 -1.292308689e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.4             	((5.566042325e-01 -1.083435095e-04 1.109980827e-19) (4.980431987e-01 -3.158395047e-05 -1.154077750e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.708587737e-05 1.391510581e-01 -5.039397719e-13) (7.895987617e-06 1.245107997e-01 -1.406104069e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
