# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.04            	((4.072839033e+00 9.167853281e-03 5.873797893e-19) (5.259570908e+00 -1.780680940e-03 -3.630992677e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.291963320e-03 1.018209758e+00 3.360272607e-11) (4.451702349e-04 1.314892727e+00 -1.164963891e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.08            	((3.641307770e+00 2.166813300e-02 5.329231701e-19) (3.820050215e+00 -1.696848194e-03 -4.487590223e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.417033251e-03 9.103269424e-01 2.482174405e-12) (4.242120484e-04 9.550125538e-01 -1.738780698e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.12            	((3.177413251e+00 1.008735919e-02 4.816017413e-19) (3.231674020e+00 -6.162810323e-04 -4.277627589e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-2.521839798e-03 7.943533128e-01 -5.718238383e-13) (1.540702581e-04 8.079185050e-01 -6.705800894e-05) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.16            	((2.876204559e+00 2.777698516e-03 4.423497939e-19) (2.890970570e+00 -1.875852005e-04 -3.973106440e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-6.944246291e-04 7.190511397e-01 -2.035093167e-13) (4.689630013e-05 7.227426425e-01 -2.111024387e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.2             	((2.662179138e+00 1.425761127e-04 4.128501857e-19) (2.661025084e+00 1.366840313e-05 -3.736687318e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.564402819e-05 6.655447845e-01 3.357286237e-14) (-3.417100783e-06 6.652562709e-01 -3.600398697e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.24            	((2.502339425e+00 -6.464793329e-04 3.905216890e-19) (2.492562806e+00 1.156735329e-04 -3.557842880e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((1.616198332e-04 6.255848561e-01 1.063580647e-13) (-2.891838321e-05 6.231407014e-01 -4.843024450e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.28            	((2.376624886e+00 -8.374671188e-04 3.727928056e-19) (2.362741115e+00 1.104138185e-04 -3.416950638e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.093667797e-04 5.941562214e-01 1.983102267e-13) (-2.760345461e-05 5.906852788e-01 -5.885492944e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.32            	((2.275760017e+00 -1.004488044e-03 3.585077819e-19) (2.258921771e+00 2.730562301e-05 -3.303324643e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.511220111e-04 5.689400041e-01 3.187704007e-13) (-6.826405752e-06 5.647304427e-01 -6.771766390e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.36            	((2.192704066e+00 -8.044521757e-04 3.468476420e-19) (2.173594390e+00 -9.285742506e-05 -3.210596698e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.011130439e-04 5.481760165e-01 3.651139720e-13) (2.321435626e-05 5.433985975e-01 -7.468261562e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
0.4             	((2.122885837e+00 -9.607407704e-04 3.369475592e-19) (2.101980869e+00 -1.262402133e-04 -3.131659775e-19) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((2.401851926e-04 5.307214592e-01 4.461915863e-13) (3.156005333e-05 5.254952171e-01 -7.966978856e-04) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
