# Time          	Cd              	Cl              	Cl(f)           	Cl(r)           
0,04	5,08E+00	4,50E-04	2,41E-04	2,09E-04
0,08	3,41E+00	8,55E-04	4,36E-04	4,19E-04
0,12	2,66E+00	5,27E-03	2,64E-03	2,63E-03
0,16	2,25E+00	2,97E-03	1,49E-03	1,48E-03
0,2	2,01E+00	7,33E-04	3,66E-04	3,67E-04
0,24	1,85E+00	-2,04E-04	-1,04E-04	-1,01E-04
0,28	1,75E+00	-2,82E-04	-1,43E-04	-1,38E-04
0,32	1,68E+00	-9,42E-05	-5,04E-05	-4,37E-05
0,36	1,62E+00	-1,69E-05	-1,19E-05	-4,96E-06
0,4	1,58E+00	-5,58E-04	-2,82E-04	-2,75E-04
0,44	1,56E+00	-3,86E-04	-1,96E-04	-1,90E-04
0,48	1,53E+00	-4,41E-04	-2,23E-04	-2,18E-04
0,52	1,52E+00	9,10E-06	1,50E-06	7,61E-06
0,56	1,51E+00	2,11E-04	1,02E-04	1,09E-04
0,6	1,50E+00	4,27E-04	2,08E-04	2,19E-04
0,64	1,50E+00	8,87E-04	4,36E-04	4,51E-04
0,68	1,50E+00	1,38E-03	6,78E-04	6,98E-04
0,72	1,50E+00	1,83E-03	9,02E-04	9,29E-04
0,76	1,50E+00	1,94E-03	9,54E-04	9,90E-04
0,8	1,50E+00	1,88E-03	9,18E-04	9,64E-04
0,84	1,50E+00	1,95E-03	9,46E-04	1,00E-03
0,88	1,51E+00	2,68E-03	1,31E-03	1,38E-03
0,92	1,51E+00	3,03E-03	1,48E-03	1,56E-03
0,96	1,52E+00	3,66E-03	1,79E-03	1,88E-03
1	1,52E+00	4,20E-03	2,05E-03	2,15E-03
1,04	1,52E+00	5,03E-03	2,46E-03	2,57E-03
1,08	1,53E+00	5,45E-03	2,66E-03	2,78E-03
1,12	1,53E+00	5,05E-03	2,46E-03	2,59E-03
1,16	1,53E+00	5,71E-03	2,79E-03	2,92E-03
1,2	1,54E+00	5,42E-03	2,65E-03	2,78E-03
1,24	1,54E+00	5,46E-03	2,67E-03	2,80E-03
1,28	1,54E+00	5,98E-03	2,93E-03	3,05E-03
1,32	1,55E+00	6,19E-03	3,04E-03	3,15E-03
1,36	1,55E+00	6,89E-03	3,39E-03	3,50E-03
1,4	1,55E+00	7,47E-03	3,68E-03	3,78E-03
1,44	1,55E+00	7,06E-03	3,49E-03	3,57E-03
1,48	1,55E+00	7,42E-03	3,68E-03	3,74E-03
1,52	1,55E+00	8,05E-03	4,00E-03	4,05E-03
1,56	1,55E+00	7,31E-03	3,64E-03	3,67E-03
1,6	1,55E+00	7,72E-03	3,86E-03	3,86E-03
1,64	1,55E+00	7,75E-03	3,89E-03	3,86E-03
1,68	1,55E+00	7,31E-03	3,68E-03	3,63E-03
1,72	1,55E+00	7,21E-03	3,64E-03	3,57E-03
1,76	1,55E+00	6,95E-03	3,52E-03	3,43E-03
1,8	1,55E+00	6,85E-03	3,48E-03	3,37E-03
