# Time          	Cd              	Cl              	Cl(f)           	Cl(r)           
1,84	1,55E+00	6,65E-03	3,39E-03	3,25E-03
1,88	1,55E+00	6,42E-03	3,29E-03	3,13E-03
1,92	1,54E+00	6,40E-03	3,29E-03	3,11E-03
1,96	1,54E+00	6,27E-03	3,24E-03	3,04E-03
2	1,54E+00	6,47E-03	3,35E-03	3,13E-03
2,04	1,54E+00	5,88E-03	3,06E-03	2,82E-03
2,08	1,53E+00	5,13E-03	2,69E-03	2,44E-03
2,12	1,53E+00	5,70E-03	2,98E-03	2,72E-03
2,16	1,53E+00	5,13E-03	2,70E-03	2,43E-03
2,2	1,52E+00	4,46E-03	2,37E-03	2,09E-03
2,24	1,52E+00	4,92E-03	2,60E-03	2,31E-03
2,28	1,52E+00	4,54E-03	2,42E-03	2,12E-03
2,32	1,51E+00	3,97E-03	2,14E-03	1,84E-03
2,36	1,51E+00	3,64E-03	1,97E-03	1,67E-03
2,4	1,51E+00	3,45E-03	1,88E-03	1,58E-03
2,44	1,50E+00	2,53E-03	1,42E-03	1,11E-03
2,48	1,50E+00	3,09E-03	1,70E-03	1,40E-03
2,52	1,50E+00	2,62E-03	1,46E-03	1,16E-03
2,56	1,49E+00	1,79E-03	1,05E-03	7,47E-04
2,6	1,49E+00	1,60E-03	9,49E-04	6,53E-04
2,64	1,48E+00	1,02E-03	6,57E-04	3,64E-04
2,68	1,48E+00	2,76E-04	2,83E-04	-6,76E-06
2,72	1,48E+00	4,55E-04	3,71E-04	8,44E-05
2,76	1,47E+00	-1,92E-04	4,62E-05	-2,38E-04
2,8	1,47E+00	-9,42E-04	-3,30E-04	-6,13E-04
2,84	1,46E+00	-1,77E-03	-7,43E-04	-1,02E-03
2,88	1,46E+00	-1,88E-03	-7,98E-04	-1,08E-03
2,92	1,46E+00	-2,71E-03	-1,21E-03	-1,49E-03
2,96	1,46E+00	-3,91E-03	-1,81E-03	-2,10E-03
3	1,45E+00	-4,52E-03	-2,11E-03	-2,40E-03
3,04	1,45E+00	-5,15E-03	-2,43E-03	-2,72E-03
3,08	1,45E+00	-5,79E-03	-2,75E-03	-3,05E-03
3,12	1,44E+00	-6,37E-03	-3,04E-03	-3,34E-03
3,16	1,44E+00	-6,99E-03	-3,34E-03	-3,65E-03
3,2	1,44E+00	-7,50E-03	-3,59E-03	-3,91E-03
3,24	1,43E+00	-8,11E-03	-3,89E-03	-4,22E-03
3,28	1,43E+00	-8,97E-03	-4,31E-03	-4,65E-03
3,32	1,43E+00	-9,49E-03	-4,57E-03	-4,92E-03
3,36	1,42E+00	-9,98E-03	-4,81E-03	-5,17E-03
3,4	1,42E+00	-1,03E-02	-4,99E-03	-5,35E-03
3,44	1,42E+00	-1,10E-02	-5,30E-03	-5,67E-03
3,48	1,42E+00	-1,13E-02	-5,48E-03	-5,86E-03
3,52	1,42E+00	-1,15E-02	-5,58E-03	-5,97E-03
3,56	1,41E+00	-1,18E-02	-5,69E-03	-6,08E-03
3,6	1,41E+00	-1,21E-02	-5,85E-03	-6,25E-03
3,64	1,41E+00	-1,19E-02	-5,76E-03	-6,16E-03
3,68	1,41E+00	-1,20E-02	-5,82E-03	-6,23E-03
3,72	1,40E+00	-1,20E-02	-5,79E-03	-6,20E-03
3,76	1,40E+00	-1,18E-02	-5,71E-03	-6,12E-03
3,8	1,40E+00	-1,17E-02	-5,65E-03	-6,06E-03
3,84	1,40E+00	-1,13E-02	-5,46E-03	-5,86E-03
3,88	1,40E+00	-1,13E-02	-5,45E-03	-5,84E-03
3,92	1,40E+00	-1,09E-02	-5,25E-03	-5,64E-03
3,96	1,39E+00	-1,04E-02	-5,02E-03	-5,39E-03
4	1,39E+00	-9,90E-03	-4,77E-03	-5,13E-03
4,04	1,39E+00	-9,45E-03	-4,55E-03	-4,90E-03
4,08	1,39E+00	-8,78E-03	-4,23E-03	-4,55E-03
4,12	1,39E+00	-8,05E-03	-3,87E-03	-4,18E-03
4,16	1,38E+00	-7,56E-03	-3,64E-03	-3,92E-03
4,2	1,38E+00	-6,75E-03	-3,25E-03	-3,51E-03
4,24	1,38E+00	-6,17E-03	-2,97E-03	-3,20E-03
4,28	1,38E+00	-5,58E-03	-2,69E-03	-2,89E-03
4,32	1,38E+00	-4,80E-03	-2,31E-03	-2,49E-03
4,36	1,38E+00	-4,16E-03	-2,00E-03	-2,15E-03
4,4	1,37E+00	-3,67E-03	-1,78E-03	-1,89E-03
4,44	1,37E+00	-2,89E-03	-1,40E-03	-1,48E-03
4,48	1,37E+00	-2,11E-03	-1,03E-03	-1,08E-03
4,52	1,37E+00	-1,46E-03	-7,22E-04	-7,42E-04
4,56	1,37E+00	-9,34E-04	-4,73E-04	-4,61E-04
4,6	1,36E+00	-5,24E-04	-2,84E-04	-2,41E-04
4,64	1,36E+00	2,50E-04	8,84E-05	1,62E-04
4,68	1,36E+00	6,91E-04	2,94E-04	3,97E-04
4,72	1,36E+00	1,08E-03	4,75E-04	6,06E-04
4,76	1,36E+00	1,42E-03	6,29E-04	7,88E-04
4,8	1,35E+00	1,69E-03	7,55E-04	9,40E-04
4,84	1,35E+00	1,94E-03	8,68E-04	1,08E-03
4,88	1,35E+00	2,15E-03	9,59E-04	1,19E-03
4,92	1,35E+00	2,28E-03	1,02E-03	1,27E-03
4,96	1,35E+00	2,54E-03	1,14E-03	1,41E-03
5	1,34E+00	2,47E-03	1,09E-03	1,37E-03
5,04	1,34E+00	2,38E-03	1,04E-03	1,34E-03
5,08	1,34E+00	2,28E-03	9,85E-04	1,29E-03
5,12	1,34E+00	2,14E-03	9,12E-04	1,23E-03
5,16	1,34E+00	1,92E-03	8,02E-04	1,12E-03
5,2	1,33E+00	1,72E-03	6,96E-04	1,02E-03
5,24	1,33E+00	1,47E-03	5,75E-04	8,99E-04
5,28	1,33E+00	1,20E-03	4,40E-04	7,63E-04
5,32	1,33E+00	6,51E-04	1,66E-04	4,85E-04
5,36	1,33E+00	3,16E-04	1,21E-06	3,15E-04
5,4	1,33E+00	-1,27E-04	-2,16E-04	8,93E-05
5,44	1,32E+00	-4,80E-04	-3,88E-04	-9,18E-05
5,48	1,32E+00	-8,43E-04	-5,64E-04	-2,79E-04
5,52	1,32E+00	-1,20E-03	-7,35E-04	-4,64E-04
5,56	1,32E+00	-1,62E-03	-9,38E-04	-6,81E-04
5,6	1,32E+00	-2,02E-03	-1,13E-03	-8,91E-04
5,64	1,32E+00	-2,40E-03	-1,32E-03	-1,09E-03
5,68	1,32E+00	-2,79E-03	-1,50E-03	-1,29E-03
5,72	1,32E+00	-3,16E-03	-1,68E-03	-1,49E-03
5,76	1,31E+00	-3,46E-03	-1,82E-03	-1,64E-03
5,8	1,31E+00	-3,89E-03	-2,02E-03	-1,87E-03
5,84	1,31E+00	-4,22E-03	-2,18E-03	-2,04E-03
5,88	1,31E+00	-4,40E-03	-2,26E-03	-2,14E-03
5,92	1,31E+00	-4,60E-03	-2,35E-03	-2,25E-03
5,96	1,31E+00	-4,98E-03	-2,53E-03	-2,45E-03
6	1,31E+00	-5,12E-03	-2,59E-03	-2,53E-03
6,04	1,31E+00	-5,24E-03	-2,65E-03	-2,60E-03
6,08	1,31E+00	-5,33E-03	-2,68E-03	-2,65E-03
6,12	1,31E+00	-5,42E-03	-2,72E-03	-2,70E-03
6,16	1,31E+00	-5,46E-03	-2,73E-03	-2,73E-03
6,2	1,30E+00	-5,48E-03	-2,73E-03	-2,74E-03
6,24	1,30E+00	-5,42E-03	-2,70E-03	-2,72E-03
6,28	1,30E+00	-5,28E-03	-2,63E-03	-2,66E-03
6,32	1,30E+00	-5,18E-03	-2,57E-03	-2,61E-03
6,36	1,30E+00	-5,11E-03	-2,53E-03	-2,58E-03
6,4	1,30E+00	-4,99E-03	-2,47E-03	-2,52E-03
6,44	1,30E+00	-4,84E-03	-2,39E-03	-2,45E-03
6,48	1,30E+00	-4,62E-03	-2,28E-03	-2,34E-03
6,52	1,30E+00	-4,41E-03	-2,17E-03	-2,24E-03
6,56	1,30E+00	-4,18E-03	-2,06E-03	-2,12E-03
6,6	1,29E+00	-3,94E-03	-1,94E-03	-2,00E-03
6,64	1,29E+00	-3,71E-03	-1,82E-03	-1,89E-03
6,68	1,29E+00	-3,44E-03	-1,69E-03	-1,75E-03
6,72	1,29E+00	-3,21E-03	-1,58E-03	-1,64E-03
6,76	1,29E+00	-2,91E-03	-1,42E-03	-1,48E-03
6,8	1,29E+00	-2,68E-03	-1,31E-03	-1,37E-03
6,84	1,29E+00	-2,44E-03	-1,20E-03	-1,25E-03
6,88	1,29E+00	-2,13E-03	-1,04E-03	-1,09E-03
6,92	1,29E+00	-1,89E-03	-9,22E-04	-9,66E-04
6,96	1,28E+00	-1,64E-03	-8,00E-04	-8,40E-04
7	1,28E+00	-1,38E-03	-6,72E-04	-7,06E-04
7,04	1,28E+00	-1,23E-03	-6,00E-04	-6,30E-04
7,08	1,28E+00	-1,05E-03	-5,13E-04	-5,38E-04
7,12	1,28E+00	-7,93E-04	-3,86E-04	-4,06E-04
7,16	1,28E+00	-5,81E-04	-2,83E-04	-2,98E-04
7,2	1,28E+00	-3,80E-04	-1,85E-04	-1,95E-04
7,24	1,28E+00	-1,86E-04	-9,02E-05	-9,62E-05
7,28	1,27E+00	3,47E-05	1,82E-05	1,65E-05
7,32	1,27E+00	1,73E-04	8,54E-05	8,76E-05
7,36	1,27E+00	4,16E-04	2,05E-04	2,11E-04
7,4	1,27E+00	6,10E-04	3,01E-04	3,10E-04
7,44	1,27E+00	7,74E-04	3,81E-04	3,93E-04
7,48	1,27E+00	9,55E-04	4,70E-04	4,85E-04
7,52	1,27E+00	1,17E-03	5,74E-04	5,92E-04
7,56	1,27E+00	1,28E-03	6,30E-04	6,50E-04
7,6	1,27E+00	1,48E-03	7,29E-04	7,51E-04
7,64	1,27E+00	1,70E-03	8,40E-04	8,63E-04
7,68	1,26E+00	1,94E-03	9,55E-04	9,81E-04
7,72	1,26E+00	2,12E-03	1,05E-03	1,07E-03
7,76	1,26E+00	2,33E-03	1,15E-03	1,18E-03
7,8	1,26E+00	2,51E-03	1,24E-03	1,27E-03
7,84	1,26E+00	2,76E-03	1,36E-03	1,39E-03
7,88	1,26E+00	2,99E-03	1,48E-03	1,51E-03
7,92	1,26E+00	3,26E-03	1,62E-03	1,65E-03
7,96	1,26E+00	3,54E-03	1,75E-03	1,79E-03
8	1,26E+00	3,79E-03	1,88E-03	1,91E-03
8,04	1,26E+00	4,10E-03	2,03E-03	2,07E-03
8,08	1,26E+00	4,40E-03	2,18E-03	2,22E-03
8,12	1,26E+00	4,66E-03	2,31E-03	2,35E-03
8,16	1,26E+00	4,99E-03	2,48E-03	2,51E-03
8,2	1,25E+00	5,21E-03	2,59E-03	2,63E-03
8,24	1,25E+00	5,53E-03	2,75E-03	2,79E-03
8,28	1,25E+00	5,83E-03	2,89E-03	2,94E-03
8,32	1,25E+00	6,10E-03	3,03E-03	3,07E-03
8,36	1,25E+00	6,42E-03	3,19E-03	3,23E-03
8,4	1,25E+00	6,71E-03	3,33E-03	3,38E-03
8,44	1,25E+00	6,99E-03	3,47E-03	3,52E-03
8,48	1,25E+00	7,26E-03	3,60E-03	3,65E-03
8,52	1,25E+00	7,51E-03	3,73E-03	3,78E-03
8,56	1,25E+00	7,74E-03	3,85E-03	3,90E-03
8,6	1,25E+00	7,99E-03	3,97E-03	4,02E-03
8,64	1,25E+00	8,18E-03	4,06E-03	4,12E-03
8,68	1,25E+00	8,36E-03	4,15E-03	4,21E-03
8,72	1,25E+00	8,53E-03	4,24E-03	4,29E-03
8,76	1,25E+00	8,65E-03	4,30E-03	4,35E-03
8,8	1,24E+00	8,77E-03	4,36E-03	4,41E-03
8,84	1,24E+00	8,83E-03	4,39E-03	4,44E-03
8,88	1,24E+00	8,88E-03	4,41E-03	4,47E-03
8,92	1,24E+00	8,89E-03	4,42E-03	4,47E-03
8,96	1,24E+00	8,90E-03	4,43E-03	4,47E-03
9	1,24E+00	8,87E-03	4,41E-03	4,46E-03
9,04	1,24E+00	8,81E-03	4,38E-03	4,42E-03
9,08	1,24E+00	8,72E-03	4,34E-03	4,38E-03
9,12	1,24E+00	8,60E-03	4,29E-03	4,32E-03
9,16	1,24E+00	8,45E-03	4,21E-03	4,24E-03
9,2	1,24E+00	8,25E-03	4,11E-03	4,13E-03
9,24	1,24E+00	8,04E-03	4,02E-03	4,03E-03
9,28	1,24E+00	7,77E-03	3,88E-03	3,89E-03
9,32	1,23E+00	7,53E-03	3,77E-03	3,76E-03
9,36	1,23E+00	7,22E-03	3,62E-03	3,60E-03
9,4	1,23E+00	6,90E-03	3,46E-03	3,44E-03
9,44	1,23E+00	6,55E-03	3,29E-03	3,26E-03
9,48	1,23E+00	6,16E-03	3,10E-03	3,06E-03
9,52	1,23E+00	5,77E-03	2,91E-03	2,86E-03
9,56	1,23E+00	5,33E-03	2,70E-03	2,63E-03
9,6	1,23E+00	4,91E-03	2,49E-03	2,41E-03
9,64	1,23E+00	4,46E-03	2,28E-03	2,19E-03
9,68	1,23E+00	4,04E-03	2,07E-03	1,97E-03
9,72	1,23E+00	3,60E-03	1,86E-03	1,74E-03
9,76	1,23E+00	3,12E-03	1,62E-03	1,50E-03
9,8	1,23E+00	2,64E-03	1,39E-03	1,25E-03
9,84	1,23E+00	2,20E-03	1,18E-03	1,02E-03
9,88	1,22E+00	1,73E-03	9,48E-04	7,81E-04
9,92	1,22E+00	1,26E-03	7,22E-04	5,42E-04
9,96	1,22E+00	8,37E-04	5,15E-04	3,22E-04
10	1,22E+00	3,84E-04	2,95E-04	8,95E-05
10,04	1,22E+00	-7,10E-05	7,32E-05	-1,44E-04
10,08	1,22E+00	-5,05E-04	-1,38E-04	-3,67E-04
10,12	1,22E+00	-8,58E-04	-3,09E-04	-5,49E-04
10,16	1,22E+00	-1,29E-03	-5,20E-04	-7,71E-04
10,2	1,22E+00	-1,70E-03	-7,20E-04	-9,82E-04
10,24	1,22E+00	-2,07E-03	-8,99E-04	-1,17E-03
10,28	1,22E+00	-2,44E-03	-1,08E-03	-1,36E-03
10,32	1,22E+00	-2,78E-03	-1,25E-03	-1,54E-03
10,36	1,22E+00	-3,11E-03	-1,41E-03	-1,70E-03
10,4	1,22E+00	-3,43E-03	-1,56E-03	-1,87E-03
10,44	1,22E+00	-3,73E-03	-1,71E-03	-2,02E-03
10,48	1,22E+00	-4,03E-03	-1,86E-03	-2,17E-03
10,52	1,22E+00	-4,28E-03	-1,98E-03	-2,30E-03
10,56	1,22E+00	-4,54E-03	-2,11E-03	-2,43E-03
10,6	1,22E+00	-4,79E-03	-2,23E-03	-2,56E-03
10,64	1,22E+00	-5,04E-03	-2,36E-03	-2,69E-03
10,68	1,22E+00	-5,26E-03	-2,46E-03	-2,79E-03
10,72	1,22E+00	-5,47E-03	-2,57E-03	-2,90E-03
10,76	1,22E+00	-5,69E-03	-2,68E-03	-3,01E-03
10,8	1,21E+00	-5,91E-03	-2,79E-03	-3,12E-03
10,84	1,21E+00	-6,10E-03	-2,88E-03	-3,21E-03
10,88	1,21E+00	-6,27E-03	-2,97E-03	-3,30E-03
10,92	1,21E+00	-6,38E-03	-3,03E-03	-3,36E-03
10,96	1,21E+00	-6,57E-03	-3,12E-03	-3,45E-03
11	1,21E+00	-6,74E-03	-3,21E-03	-3,53E-03
11,04	1,21E+00	-6,90E-03	-3,29E-03	-3,61E-03
11,08	1,21E+00	-7,05E-03	-3,37E-03	-3,68E-03
11,12	1,21E+00	-7,22E-03	-3,45E-03	-3,76E-03
11,16	1,21E+00	-7,36E-03	-3,53E-03	-3,83E-03
11,2	1,21E+00	-7,44E-03	-3,57E-03	-3,87E-03
11,24	1,21E+00	-7,59E-03	-3,65E-03	-3,94E-03
11,28	1,21E+00	-7,72E-03	-3,72E-03	-4,01E-03
11,32	1,21E+00	-7,87E-03	-3,79E-03	-4,08E-03
11,36	1,21E+00	-8,01E-03	-3,87E-03	-4,14E-03
11,4	1,21E+00	-8,16E-03	-3,94E-03	-4,21E-03
11,44	1,21E+00	-8,30E-03	-4,02E-03	-4,28E-03
11,48	1,21E+00	-8,45E-03	-4,10E-03	-4,35E-03
11,52	1,21E+00	-8,59E-03	-4,17E-03	-4,42E-03
11,56	1,21E+00	-8,72E-03	-4,24E-03	-4,48E-03
11,6	1,21E+00	-8,85E-03	-4,31E-03	-4,55E-03
11,64	1,21E+00	-8,96E-03	-4,37E-03	-4,60E-03
11,68	1,21E+00	-9,08E-03	-4,43E-03	-4,65E-03
11,72	1,21E+00	-9,19E-03	-4,48E-03	-4,70E-03
11,76	1,21E+00	-9,29E-03	-4,54E-03	-4,75E-03
11,8	1,21E+00	-9,38E-03	-4,59E-03	-4,79E-03
11,84	1,21E+00	-9,46E-03	-4,63E-03	-4,83E-03
11,88	1,20E+00	-9,53E-03	-4,67E-03	-4,86E-03
11,92	1,20E+00	-9,58E-03	-4,70E-03	-4,88E-03
11,96	1,20E+00	-9,64E-03	-4,73E-03	-4,91E-03
12	1,20E+00	-9,69E-03	-4,76E-03	-4,93E-03
12,04	1,20E+00	-9,70E-03	-4,77E-03	-4,93E-03
12,08	1,20E+00	-9,69E-03	-4,77E-03	-4,92E-03
12,12	1,20E+00	-9,67E-03	-4,76E-03	-4,91E-03
12,16	1,20E+00	-9,64E-03	-4,75E-03	-4,89E-03
12,2	1,20E+00	-9,59E-03	-4,73E-03	-4,86E-03
12,24	1,20E+00	-9,51E-03	-4,69E-03	-4,82E-03
12,28	1,20E+00	-9,43E-03	-4,66E-03	-4,77E-03
12,32	1,20E+00	-9,30E-03	-4,60E-03	-4,70E-03
12,36	1,20E+00	-9,18E-03	-4,54E-03	-4,63E-03
12,4	1,20E+00	-9,01E-03	-4,46E-03	-4,55E-03
12,44	1,20E+00	-8,84E-03	-4,38E-03	-4,46E-03
12,48	1,20E+00	-8,66E-03	-4,30E-03	-4,36E-03
12,52	1,20E+00	-8,44E-03	-4,19E-03	-4,25E-03
12,56	1,20E+00	-8,22E-03	-4,09E-03	-4,13E-03
12,6	1,20E+00	-7,96E-03	-3,97E-03	-4,00E-03
12,64	1,20E+00	-7,67E-03	-3,83E-03	-3,85E-03
12,68	1,20E+00	-7,38E-03	-3,68E-03	-3,69E-03
12,72	1,20E+00	-7,08E-03	-3,54E-03	-3,54E-03
12,76	1,20E+00	-6,78E-03	-3,40E-03	-3,38E-03
12,8	1,20E+00	-6,45E-03	-3,24E-03	-3,21E-03
12,84	1,20E+00	-6,11E-03	-3,07E-03	-3,03E-03
12,88	1,20E+00	-5,77E-03	-2,91E-03	-2,86E-03
12,92	1,20E+00	-5,42E-03	-2,74E-03	-2,68E-03
12,96	1,20E+00	-4,97E-03	-2,52E-03	-2,45E-03
13	1,20E+00	-4,59E-03	-2,34E-03	-2,25E-03
13,04	1,19E+00	-4,22E-03	-2,16E-03	-2,06E-03
13,08	1,19E+00	-3,84E-03	-1,97E-03	-1,86E-03
13,12	1,19E+00	-3,47E-03	-1,80E-03	-1,68E-03
13,16	1,19E+00	-3,10E-03	-1,62E-03	-1,49E-03
13,2	1,19E+00	-2,72E-03	-1,43E-03	-1,29E-03
13,24	1,19E+00	-2,35E-03	-1,25E-03	-1,10E-03
13,28	1,19E+00	-1,98E-03	-1,07E-03	-9,09E-04
13,32	1,19E+00	-1,60E-03	-8,84E-04	-7,12E-04
13,36	1,19E+00	-1,28E-03	-7,30E-04	-5,48E-04
13,4	1,19E+00	-9,20E-04	-5,55E-04	-3,65E-04
13,44	1,19E+00	-5,85E-04	-3,92E-04	-1,93E-04
13,48	1,19E+00	-2,60E-04	-2,33E-04	-2,71E-05
13,52	1,19E+00	6,22E-05	-7,55E-05	1,38E-04
13,56	1,19E+00	3,73E-04	7,69E-05	2,96E-04
13,6	1,19E+00	6,81E-04	2,28E-04	4,53E-04
13,64	1,19E+00	9,74E-04	3,72E-04	6,02E-04
13,68	1,19E+00	1,26E-03	5,14E-04	7,49E-04
13,72	1,19E+00	1,52E-03	6,40E-04	8,79E-04
13,76	1,19E+00	1,78E-03	7,67E-04	1,01E-03
13,8	1,19E+00	2,02E-03	8,88E-04	1,13E-03
13,84	1,19E+00	2,25E-03	1,00E-03	1,25E-03
13,88	1,19E+00	2,48E-03	1,12E-03	1,36E-03
13,92	1,19E+00	2,68E-03	1,22E-03	1,46E-03
13,96	1,19E+00	2,86E-03	1,31E-03	1,56E-03
14	1,19E+00	3,05E-03	1,40E-03	1,65E-03
14,04	1,19E+00	3,24E-03	1,50E-03	1,74E-03
14,08	1,19E+00	3,41E-03	1,58E-03	1,83E-03
14,12	1,19E+00	3,58E-03	1,67E-03	1,91E-03
14,16	1,19E+00	3,74E-03	1,75E-03	1,99E-03
14,2	1,19E+00	3,88E-03	1,82E-03	2,06E-03
14,24	1,19E+00	4,03E-03	1,90E-03	2,13E-03
14,28	1,19E+00	4,18E-03	1,97E-03	2,20E-03
14,32	1,19E+00	4,30E-03	2,04E-03	2,26E-03
14,36	1,19E+00	4,44E-03	2,11E-03	2,33E-03
14,4	1,19E+00	4,56E-03	2,18E-03	2,39E-03
14,44	1,19E+00	4,69E-03	2,24E-03	2,45E-03
14,48	1,19E+00	4,81E-03	2,31E-03	2,51E-03
14,52	1,19E+00	4,94E-03	2,37E-03	2,57E-03
14,56	1,19E+00	5,03E-03	2,42E-03	2,61E-03
14,6	1,18E+00	5,18E-03	2,50E-03	2,68E-03
14,64	1,18E+00	5,30E-03	2,56E-03	2,74E-03
14,68	1,18E+00	5,41E-03	2,62E-03	2,79E-03
14,72	1,18E+00	5,54E-03	2,69E-03	2,85E-03
14,76	1,18E+00	5,66E-03	2,75E-03	2,90E-03
14,8	1,18E+00	5,75E-03	2,80E-03	2,94E-03
14,84	1,18E+00	5,87E-03	2,87E-03	3,00E-03
14,88	1,18E+00	5,97E-03	2,92E-03	3,05E-03
14,92	1,18E+00	6,09E-03	2,99E-03	3,10E-03
14,96	1,18E+00	6,20E-03	3,05E-03	3,15E-03
15	1,18E+00	6,31E-03	3,11E-03	3,21E-03
15,04	1,18E+00	6,42E-03	3,16E-03	3,25E-03
15,08	1,18E+00	6,53E-03	3,22E-03	3,31E-03
15,12	1,18E+00	6,63E-03	3,28E-03	3,35E-03
15,16	1,18E+00	6,72E-03	3,33E-03	3,40E-03
15,2	1,18E+00	6,83E-03	3,38E-03	3,44E-03
15,24	1,18E+00	6,92E-03	3,44E-03	3,49E-03
15,28	1,18E+00	7,01E-03	3,48E-03	3,52E-03
15,32	1,18E+00	7,08E-03	3,52E-03	3,56E-03
15,36	1,18E+00	7,14E-03	3,56E-03	3,58E-03
15,4	1,18E+00	7,24E-03	3,61E-03	3,63E-03
15,44	1,18E+00	7,27E-03	3,63E-03	3,64E-03
15,48	1,18E+00	7,33E-03	3,67E-03	3,67E-03
15,52	1,18E+00	7,37E-03	3,69E-03	3,68E-03
15,56	1,18E+00	7,38E-03	3,70E-03	3,68E-03
15,6	1,18E+00	7,40E-03	3,72E-03	3,69E-03
15,64	1,18E+00	7,42E-03	3,73E-03	3,69E-03
15,68	1,18E+00	7,41E-03	3,73E-03	3,68E-03
15,72	1,18E+00	7,40E-03	3,73E-03	3,67E-03
15,76	1,18E+00	7,37E-03	3,72E-03	3,65E-03
15,8	1,18E+00	7,33E-03	3,70E-03	3,63E-03
15,84	1,18E+00	7,28E-03	3,68E-03	3,60E-03
15,88	1,18E+00	7,20E-03	3,65E-03	3,55E-03
15,92	1,18E+00	7,13E-03	3,62E-03	3,51E-03
15,96	1,18E+00	7,02E-03	3,57E-03	3,46E-03
16	1,18E+00	6,93E-03	3,52E-03	3,40E-03
16,04	1,18E+00	6,82E-03	3,48E-03	3,34E-03
16,08	1,18E+00	6,68E-03	3,41E-03	3,27E-03
16,12	1,18E+00	6,53E-03	3,34E-03	3,19E-03
16,16	1,18E+00	6,38E-03	3,27E-03	3,11E-03
16,2	1,18E+00	6,22E-03	3,20E-03	3,02E-03
16,24	1,18E+00	6,03E-03	3,11E-03	2,92E-03
16,28	1,18E+00	5,85E-03	3,02E-03	2,82E-03
16,32	1,18E+00	5,65E-03	2,93E-03	2,72E-03
16,36	1,17E+00	5,43E-03	2,83E-03	2,60E-03
16,4	1,17E+00	5,20E-03	2,72E-03	2,48E-03
16,44	1,17E+00	4,95E-03	2,60E-03	2,35E-03
16,48	1,17E+00	4,74E-03	2,50E-03	2,24E-03
16,52	1,17E+00	4,52E-03	2,39E-03	2,13E-03
16,56	1,17E+00	4,26E-03	2,27E-03	1,99E-03
16,6	1,17E+00	4,00E-03	2,14E-03	1,86E-03
16,64	1,17E+00	3,73E-03	2,01E-03	1,71E-03
16,68	1,17E+00	3,46E-03	1,88E-03	1,58E-03
16,72	1,17E+00	3,19E-03	1,75E-03	1,43E-03
